Games: 3103, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45728, Epsilon: 0.009
Games: 3104, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45739, Epsilon: 0.009
Games: 3105, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45748, Epsilon: 0.009
Games: 3106, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45759, Epsilon: 0.009
Games: 3107, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45770, Epsilon: 0.009
Games: 3108, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45782, Epsilon: 0.009
Games: 3109, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45794, Epsilon: 0.009
Games: 3110, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 45807, Epsilon: 0.009
Games: 3111, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45818, Epsilon: 0.009
Games: 3112, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45830, Epsilon: 0.009
Games: 3113, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45841, Epsilon: 0.009
Games: 3114, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45851, Epsilon: 0.009
Games: 3115, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 45864, Epsilon: 0.009
Games: 3116, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45874, Epsilon: 0.009
Games: 3117, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45883, Epsilon: 0.009
Games: 3118, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45893, Epsilon: 0.009
Games: 3119, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45904, Epsilon: 0.009
Games: 3120, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45913, Epsilon: 0.009
Games: 3121, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45925, Epsilon: 0.009
Games: 3122, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45935, Epsilon: 0.009
Games: 3123, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45946, Epsilon: 0.009
Games: 3124, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45958, Epsilon: 0.009
Games: 3125, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45970, Epsilon: 0.009
Games: 3126, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45982, Epsilon: 0.009
Games: 3127, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45993, Epsilon: 0.009
Games: 3128, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46005, Epsilon: 0.009
Games: 3129, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46015, Epsilon: 0.009
Games: 3130, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46027, Epsilon: 0.009
Games: 3131, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46036, Epsilon: 0.009
Games: 3132, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46045, Epsilon: 0.009
Games: 3133, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46055, Epsilon: 0.009
Games: 3134, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46067, Epsilon: 0.009
Games: 3135, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46076, Epsilon: 0.009
Games: 3136, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46088, Epsilon: 0.009
Games: 3137, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46099, Epsilon: 0.009
Games: 3138, AI: 12, Random: 1, Percentage: 92, Reward: 13, Steps: 46112, Epsilon: 0.009
Games: 3139, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46122, Epsilon: 0.009
Games: 3140, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46131, Epsilon: 0.009
Games: 3141, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46142, Epsilon: 0.009
Games: 3142, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 46155, Epsilon: 0.009
Games: 3143, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46165, Epsilon: 0.009
Games: 3144, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46177, Epsilon: 0.009
Games: 3145, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46187, Epsilon: 0.009
Games: 3146, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46197, Epsilon: 0.009
Games: 3147, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46208, Epsilon: 0.009
Games: 3148, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46220, Epsilon: 0.009
